reference_num,name,lat,lon,diameter,confidence,elevation,rho,dn_inside,dn_outside,dn_difference,continous_ejecta_rad,flow_length,dark_halo_diameter,ejecta_completeness,rim_completeness,planform,morphologic_class,central_structure_diameter,wall_terracing,wall_width,multiple_crater,floor_reflectivity,parabolic_feature,impactor_direction,multi_asteroid_grp_num,terrain,interior_flat_floor,exterior_embayment,tectionically_deformed,degradation_state,comments,wall_terracing_detail,multicrater_detail,planform_detail,morph_class_detail,floor_reflectivity_detail,parabolic_detail,terrain_detail,interior_floor_detail,exterior_embayment_detail,techtonically_deformed_detail,degradation_state_detail
761,crater_at_29.0N_182.1E,29.016,182.057,7.0,1,6051.86,1.59,0,0,0,10.5,0.0,45,0.9,1.0,i,2,0.0,u,0.0,s,i,n,wnw,0,p,n,n,n,1,null,unterraced,single crater,irregular,knobby base,intermediate,no,plains,no,no,no,pristine with ejecta
762,Nalkuta,30.166,307.795,7.0,1,6051.18,2.23,0,0,0,14.5,0.0,30,1.0,1.0,e,2,0.0,u,0.0,s,i,n,se,0,p,n,n,n,1,null,unterraced,single crater,null,knobby base,intermediate,no,plains,no,no,no,pristine with ejecta
763,Khadako,54.234,139.369,7.0,1,6051.95,2.86,0,0,0,10.8,0.0,0,0.4,0.9,e,2,0.0,u,0.0,s,i,n,null,0,t,n,n,y,2,null,unterraced,single crater,null,knobby base,intermediate,no,tessera and mountain belts,no,no,yes,no ejecta
764,Runak,-58.427,196.273,7.0,2,6051.23,4.77,0,0,0,10.2,0.0,50,0.8,0.8,i,2,0.0,u,0.0,s,d,n,null,0,p,n,n,n,1,null,unterraced,single crater,irregular,knobby base,dark,no,plains,no,no,no,pristine with ejecta
765,Jumaisat,-15.054,135.625,7.0,2,6054.08,0.95,0,0,0,4.7,0.0,0,0.2,0.8,c,2,0.0,u,0.0,s,i,n,null,0,t,n,y,y,3,null,unterraced,single crater,circular,knobby base,intermediate,no,tessera and mountain belts,no,yes,yes,highly degraded
766,Olena,10.872,149.021,7.0,2,6051.42,2.55,0,0,0,14.9,0.0,0,0.8,1.0,e,2,0.0,u,0.0,s,i,n,ne,0,pf,n,n,n,1,null,unterraced,single crater,null,knobby base,intermediate,no,null,no,no,no,pristine with ejecta
767,crater_at_54.9S_312.7E,-54.934,312.716,7.0,3,6051.3,0.0,0,0,0,0.0,0.0,0,0.0,0.0,i,2,0.0,u,0.0,s,i,n,null,0,pf,n,n,n,1,not all orbits,unterraced,single crater,irregular,knobby base,intermediate,no,null,no,no,no,pristine with ejecta
768,Retno,-52.957,192.359,6.9,1,6051.07,2.86,0,0,0,13.6,0.0,0,0.9,0.9,i,2,0.0,u,0.0,s,d,n,e,0,p,n,n,n,1,null,unterraced,single crater,irregular,knobby base,dark,no,plains,no,no,no,pristine with ejecta
769,Mae,-40.523,345.212,6.9,1,6051.04,1.27,0,0,0,10.8,0.0,45,0.9,0.9,i,2,0.0,u,0.0,s,d,n,ne,0,p,y,n,n,1,null,unterraced,single crater,irregular,knobby base,dark,no,plains,yes,no,no,pristine with ejecta
77,Dashkova,78.232,306.504,45.3,1,6052.41,3.5,117,100,17,42.8,67.7,0,0.5,0.9,c,4,19.8,t,6.3,s,i,n,null,0,t,y,y,y,2,null,terraced,single crater,circular,several peaks,intermediate,no,tessera and mountain belts,yes,yes,yes,no ejecta
